Datetime,Water Level (m)
2023-03-07 12:00:00,-0.3353779
2023-03-07 13:00:00,0.033017475
2023-03-07 14:00:00,0.34795377
2023-03-07 15:00:00,0.521198
2023-03-07 16:00:00,0.4827552
2023-03-07 17:00:00,0.24742383
2023-03-07 18:00:00,-0.116746955
2023-03-07 19:00:00,-0.535573
2023-03-07 20:00:00,-0.89007545
2023-03-07 21:00:00,-1.0964403
2023-03-07 22:00:00,-1.0974033
2023-03-07 23:00:00,-0.8939357
2023-03-08 00:00:00,-0.5604729
2023-03-08 01:00:00,-0.16727675
2023-03-08 02:00:00,0.14607665
2023-03-08 03:00:00,0.32376295
2023-03-08 04:00:00,0.32988727
2023-03-08 05:00:00,0.15433961
2023-03-08 06:00:00,-0.15821835
2023-03-08 07:00:00,-0.5170936
2023-03-08 08:00:00,-0.846864
2023-03-08 09:00:00,-1.0489112
2023-03-08 10:00:00,-1.0680487
2023-03-08 11:00:00,-0.8767431
2023-03-08 12:00:00,-0.53389573
2023-03-08 13:00:00,-0.12081839
2023-03-08 14:00:00,0.25906977
2023-03-08 15:00:00,0.49460527
2023-03-08 16:00:00,0.5247661
2023-03-08 17:00:00,0.35749346
2023-03-08 18:00:00,0.03857625
2023-03-08 19:00:00,-0.37668002
2023-03-08 20:00:00,-0.7749124
2023-03-08 21:00:00,-1.0522107
2023-03-08 22:00:00,-1.1468874
2023-03-08 23:00:00,-1.0306805
2023-03-09 00:00:00,-0.7472744
2023-03-09 01:00:00,-0.3409701
2023-03-09 02:00:00,0.04345426
2023-03-09 03:00:00,0.31680506
2023-03-09 04:00:00,0.421018
2023-03-09 05:00:00,0.32018277
2023-03-09 06:00:00,0.05288659
2023-03-09 07:00:00,-0.30026752
2023-03-09 08:00:00,-0.6715988
2023-03-09 09:00:00,-0.94783133
2023-03-09 10:00:00,-1.063694
2023-03-09 11:00:00,-0.9684281
2023-03-09 12:00:00,-0.699636
2023-03-09 13:00:00,-0.30545378
2023-03-09 14:00:00,0.096399024
2023-03-09 15:00:00,0.41103274
2023-03-09 16:00:00,0.52197134
2023-03-09 17:00:00,0.44816902
2023-03-09 18:00:00,0.17786308
